town,college_count,population_2000,bachelors_degree,masters_degree,doctorate_degree,per_capita_income
ABINGTON,0,0,14605,0.2709999978542328,0.09099999815225601,0.0020000000949949026,45174
ACTON,0,0,20331,0.3319999873638153,0.28299999237060547,0.07999999821186066,65952
ACUSHNET,0,0,10161,0.16500000655651093,0.032999999821186066,0.003000000026077032,39457
ADAMS,0,0,8809,0.16500000655651093,0.05700000002980232,0.007000000216066837,34017
AGAWAM,0,0,28144,0.20999999344348907,0.12200000137090683,0.008999999612569809,42754
ALFORD,0,0,399,,,,71151
AMESBURY,0,0,16450,0.26600000262260437,0.10000000149011612,0.02199999988079071,48390
AMHERST,3,1,34874,0.2460000067949295,0.24799999594688416,0.17599999904632568,26341
ANDOVER,2,1,31247,0.35199999809265137,0.27300000190734863,0.05700000002980232,72451
AQUINNAH,0,0,344,,,,70958
ARLINGTON,0,0,42389,0.30399999022483826,0.289000004529953,0.07599999755620956,69007
ASHBURNHAM,0,0,5546,0.23899999260902405,0.10199999809265137,0.012000000104308128,43610
ASHBY,0,0,2845,0.20900000631809235,0.164000004529953,0.008999999612569809,47086
ASHFIELD,0,0,1800,0.24199999868869781,0.2150000035762787,0.04500000178813934,46327
ASHLAND,1,1,14674,0.31299999356269836,0.22200000286102295,0.04500000178813934,59092
ATHOL,0,0,11299,0.14499999582767487,0.052000001072883606,0.007000000216066837,28626
ATTLEBORO,1,1,42068,0.2160000056028366,0.08100000023841858,0.007000000216066837,38942
AUBURN,0,0,15901,0.2549999952316284,0.12600000202655792,0.013000000268220901,44491
AVON,0,0,4443,0.210999995470047,0.05700000002980232,0.0,41432
AYER,0,0,7287,0.26899999380111694,0.14300000667572021,0.03700000047683716,51578
BARNSTABLE,2,1,47821,0.22100000083446503,0.1420000046491623,0.01600000075995922,46996
BARRE,0,0,5113,0.164000004529953,0.19300000369548798,0.0020000000949949026,38041
BECKET,0,0,1755,0.17100000381469727,0.11599999666213989,0.013000000268220901,42134
BEDFORD,1,1,12595,0.3190000057220459,0.27000001072883606,0.05400000140070915,75343
